Draft amidships m,Displacement kg,Volume (displaced) m^3,Heel deg,Draft at FP m,Draft at AP m,Draft at LCF m,Trim (+ve by stern) m,WL Length m,Beam max extents on WL m,Beam max on WL m,Beam extents on WL of station with max area m,Beam on WL of station with max area m,Beam extents on WL amidships m,Beam on WL amidships m,Immersed depth m,Immersed depth of station with max area m,Immersed depth amidships m,Max sect. area m^2,Sect. area amidships m^2,Wetted Area m^2,Waterpl. Area m^2,Prismatic coeff. (Cp),Block coeff. (Cb),Max Sect. area coeff. (Cm),Waterpl. area coeff. (Cwp),LCB from zero pt. (+ve fwd) m,TCB m,VCB m,LCF from zero pt. (+ve fwd) m,TCF m,VCF m,KB m,KG m,BMt m,BML m,GMt m,GML m,KMt m,KML m,Immersion (TPc) tonne/cm,MTc tonne.m,GZ m,RM at 1deg = GMt.Disp.sin(1) kg.m,Righting moment (trans.) kg.m,Righting moment (long.) kg.m,KN m,Max deck inclination deg,Trim angle (+ve by stern) deg
0,0.0445,0,0,0,0,0,0,1.666,0.049,0.049,0.048,0.048,0,0,0.007,0.007,0,0,0,0.023,0.022,0.165,0.08,0.5,0.269,1.167,-0.001,-0.002,0.9,-0.001,0,-0.002,0.156,0.05,152.906,-0.108,152.748,0.048,152.904,0,0,-0.001,0,0,0.019,-0.001,0,0
0.01,0.746,0.001,0,0.01,0.01,0.01,0,1.729,0.143,0.143,0.129,0.129,0,0,0.017,0.016,0,0.001,0,0.117,0.113,0.403,0.177,0.5,0.458,0.735,-0.001,0.006,0.667,-0.001,0.01,0.006,0.156,0.187,45.565,0.037,45.415,0.193,45.571,0.001,0,-0.001,0,-0.001,-0.001,-0.001,0,0
0.02,2.462,0.002,0,0.02,0.02,0.02,0,1.768,0.25,0.25,0.25,0.25,0,0,0.027,0.023,0,0.003,0,0.22,0.212,0.465,0.204,0.504,0.48,0.692,-0.001,0.012,0.661,-0.001,0.02,0.012,0.156,0.34,25.741,0.196,25.598,0.352,25.754,0.002,0,-0.001,0.008,-0.002,-0.112,-0.001,0,0
0.03,5.294,0.005,0,0.03,0.03,0.03,0,1.798,0.357,0.357,0.357,0.357,0,0,0.037,0.033,0,0.006,0,0.331,0.318,0.482,0.22,0.503,0.495,0.684,-0.001,0.019,0.668,-0.001,0.03,0.019,0.156,0.493,18.034,0.356,17.897,0.512,18.053,0.003,0,-0.001,0.033,-0.005,-0.278,-0.001,0,0
0.04,8.966,0.009,0,0.04,0.04,0.04,0,1.823,0.464,0.464,0.464,0.464,0.43,0.03,0.047,0.043,0.003,0.01,0,0.451,0.428,0.477,0.222,0.502,0.506,0.687,-0.001,0.026,0.684,-0.001,0.04,0.026,0.156,0.718,14.571,0.588,14.441,0.744,14.597,0.004,0.001,-0.001,0.092,-0.009,-0.452,-0.001,0,0
0.05,13.72,0.013,0,0.05,0.05,0.05,0,1.845,0.512,0.512,0.51,0.51,0.484,0.084,0.057,0.053,0.013,0.015,0.001,0.582,0.53,0.482,0.251,0.555,0.562,0.675,-0.001,0.033,0.703,-0.001,0.05,0.033,0.156,0.862,11.799,0.739,11.676,0.895,11.832,0.005,0.001,-0.001,0.177,-0.013,-0.846,-0.001,0,0
0.06,19.21,0.019,0,0.06,0.06,0.06,0,1.864,0.512,0.511,0.51,0.51,0.486,0.086,0.067,0.063,0.023,0.02,0.002,0.656,0.537,0.499,0.295,0.626,0.562,0.689,-0.001,0.039,0.744,-0.001,0.06,0.039,0.156,0.635,8.949,0.519,8.832,0.675,8.988,0.006,0.001,-0.001,0.174,-0.019,-0.918,-0.001,0,0
0.07,24.68,0.024,0,0.07,0.07,0.07,0,1.883,0.512,0.511,0.51,0.51,0.487,0.087,0.077,0.073,0.033,0.025,0.002,0.734,0.529,0.506,0.326,0.677,0.549,0.706,-0.001,0.045,0.787,-0.001,0.07,0.045,0.156,0.499,7.008,0.388,6.897,0.544,7.053,0.005,0.001,-0.001,0.167,-0.024,-0.762,-0.001,0,0
0.08,30.01,0.029,0,0.08,0.08,0.08,0,1.9,0.512,0.511,0.51,0.51,0.488,0.088,0.087,0.083,0.043,0.03,0.003,0.82,0.509,0.508,0.348,0.716,0.524,0.725,-0.001,0.051,0.838,-0.001,0.08,0.051,0.156,0.407,5.568,0.302,5.462,0.458,5.618,0.005,0.001,-0.001,0.158,-0.029,-0.36,-0.001,0,0
0.09,35.09,0.034,0,0.09,0.09,0.09,0,1.916,0.512,0.51,0.51,0.51,0.489,0.089,0.097,0.093,0.053,0.035,0.004,0.911,0.482,0.504,0.362,0.746,0.492,0.746,-0.001,0.056,0.897,-0.001,0.09,0.056,0.156,0.339,4.454,0.239,4.353,0.395,4.509,0.005,0.001,-0.001,0.146,-0.034,0.302,-0.001,0,0
